,0
thank,38.597665724166646
die,38.52912850620604
school,38.08961435416818
skylar,37.95522137343926
stop,37.95013028807242
true,37.90203065746501
wont,37.70799971459155
yo,37.33083741419933
tho,37.23860610779747
friend,37.071509968692695
hes,37.054782359237215
yk,36.972575559065554
try,36.67753432154063
anymore,35.42464436670474
isnt,34.64429648593308
theres,34.47104521406049
ass,34.460777077193015
ye,34.37111269397543
girl,34.23421608143304
care,34.099401184747734
doing,33.879951332192704
away,32.06605520876867
uh,31.81143055882076
imma,31.75848998157401
thing,31.361102040536235
maple,31.00636452149615
dumb,30.945835881488016
fun,30.877027178804212
stay,30.832458438620414
weird,30.376734589218795
year,30.10242870063938
bc,29.955529378385283
ew,29.867746705362116
hailey,29.73439587092754
bunny,29.638623323212524
let,29.636425900415293
wow,29.59037954089722
makes,29.360047417315556
fine,29.150049225612996
kill,29.09387482051258
thought,29.034093574540655
today,28.98970302228491
kinda,28.98642860233694
used,28.94528862040949
tired,28.931169857831573
afk,28.83201976549738
eat,28.799521884095686
theyre,28.613867332093857
remember,28.601766503953144
aint,28.531008353603074
stuff,28.513622184579035
lot,28.48539695478144
getting,28.420332932691995
tf,28.107884842699594
use,28.039093647500025
mom,27.963115198295217
years,27.837196700680796
saying,27.79416088778362
trust,27.563597326053394
talia,27.383717959987997
song,27.372204517695636
listen,27.36118959669379
wrong,27.159503334550266
yea,27.085379115756663
scared,27.001770001701452
whos,26.862565855144652
probably,26.857935076405607
long,26.757366827839846
end,26.54433746988461
havent,26.496166644829696
gone,26.450857381700672
normal,26.33361942788172
id,26.09820092605447
feeling,25.79565049953096
hell,25.609713163941965
best,25.583323095994412
tag,25.561492799109487
bitch,25.50118043110089
trying,25.491705278071944
new,25.2605923763169
literally,25.253943336903017
pls,24.98042237235115
sucks,24.783334713044493
shut,24.715986771695015
ohh,24.674677201210837
vent,24.419172017158683
head,24.380396344710007
freyja,24.209838524615233
nvm,24.075328544158367
little,23.889064073673357
lmfao,23.835195636782423
guess,23.640733385779182
ah,23.29788324881304
stupid,23.054133382597076
15,23.039415484373873
look,23.026936234435635
watch,22.927659976308483
bruh,22.54551057272403
minutes,22.440260126492596
tt,22.310433910767014
dad,22.271132236215923
ohhh,22.10318971885381
10,21.92147661903205
safe,21.868124156010207
work,21.77413659179257
guy,21.450918233439577
told,21.3481594171359
wanted,21.346502608499843
anyways,21.31588705672903
music,21.08091787944136
jay,21.025534036294285
pretty,21.01026499755421
sounds,20.973572213548657
understand,20.78337398100261
nope,20.74674755349623
parents,20.69136784795928
dead,20.68491614948618
abt,20.529420910887403
haha,20.518811714953276
start,20.47674688275989
night,20.35175751765456
ig,20.231614517562065
hold,20.2150934409895
big,20.172420228174722
times,20.044334766777393
funny,20.039353039403544
hear,19.6980735983
yay,19.690109865701555
believe,19.629070658544595
ty,19.60212377375779
arent,19.560865594353686
gay,19.534930854007474
high,19.521936232550214
called,19.477753464156176
ask,19.45909386526486
btw,19.361043323549676
mind,19.218628381866253
discord,19.084182939541957
happened,19.079388263496767
matter,18.93815999843149
face,18.904026455752103
ventvault,18.866546027237188
byee,18.73608058799567
luck,18.59091606631269
js,18.579016413333083
doctor,18.561129222660707
world,18.550807566350674
alr,18.472908114825003
honestly,18.43294326493049
wdym,18.362226402802584
chat,18.179232670325877
lost,17.98143382966471
bunnyprincess,17.952667554205757
change,17.937504958438183
point,17.936057964653745
age,17.923942836427937
stfu,17.89233949646004
gang,17.724840934418733
tbh,17.71126157165928
noah,17.654886887647027
hii,17.601309663531246
gabe,17.597667815501946
family,17.54650823939857
birthday,17.49189560046369
place,17.434703356805628
worse,17.433379309955633
sound,17.4275323488377
hurt,17.381642047729137
tried,17.339573988101563
sweet,17.337814125144757
left,17.319797554101708
colour,17.294808087395648
men,17.283206083772093
confused,17.25252425108649
deserve,17.249483944875365
kids,17.07062959164213
different,16.961734850765936
peter,16.899147378994574
su,16.838155698468857
youll,16.83011086422744
kind,16.78595345199088
later,16.72174773220919
fucked,16.69893749253643
xd,16.584101761717655
ventscape,16.582566696582692
alma,16.5122177856033
knew,16.459378209953975
dawg,16.40923074755818
bit,16.36732144795341
hot,16.291339587756077
don,16.259067484224392
annoying,16.146957781267453
days,16.00491466009644
having,15.997472334632494
money,15.885421122524557
